,id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,power_units,hp_or_lbs,carb_fuel_injection,subcategory_no,ev_date,ev_dow,ev_time,ev_country,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,apt_name,apt_dist,apt_dir,apt_elev,wx_obs_time,wx_obs_dir,wx_obs_elev,wx_obs_dist,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,wx_cond_basic
2701,20111223X326471,091,NONE,AMERICAN CHAMPION AIRCRAFT,8KCAB,2.0,1.0,FIXD,,AIR,N,,,,Y,PERS,N,MRT ,1655.0,MRT ,N,N,2000.0,PLT,M,Yes,Y,,,1,REC,LYCOMING,180.0,HP,FINJ,6,2011-12-22,Th,1655.0,USA,2011,12,,,401329N,0083216W,Union County Airport,0.0,,1021.0,1653.0,0.0,1021.0,0.0,DAYL,SCAT,1200.0,2200.0,OVC,,,10.0,43.0,36.0,0.0,U,,F,F,0.0,30.1200008392334,,,FATL,,,,1,0,0,0,1.0,VMC
2702,20111226X453111,091,IFR,AERO COMMANDER,560-F,7.0,2.0,RETR,7500.0,AIR,N,ANNL,,5826.0,Y,PERS,N,,1852.0,9A5 ,N,N,6000.0,PLT,M,UNK,Y,,,1,REC,Lycoming,350.0,HP,FINJ,6,2011-12-26,Mo,1906.0,USA,2011,12,,,027650N,0824333W,Venice Municipal Airport,0.0,,18.0,1915.0,0.0,18.0,0.0,DAYL,FEW,3800.0,4800.0,BKN,,,8.0,73.0,68.0,230.0,U,4.0,F,T,0.0,30.1200008392334,,,FATL,,,,1,0,0,0,1.0,VMC
2703,20111227X724131,091,NONE,BEECH,19A,4.0,1.0,FIXD,,AIR,N,ANNL,,6973.0,Y,PERS,N,,,22I ,N,N,127.0,PLT,M,No,Y,,,1,REC,LYCOMING,150.0,HP,,6,2011-12-24,Sa,1850.0,USA,2011,12,,,391941N,0822631W,Vinton County Airport,0.0,,958.0,1935.0,135.0,766.0,12.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,41.0,27.0,180.0,U,10.0,F,T,0.0,30.36000061035156,,,FATL,,,,3,0,0,0,3.0,VMC
2704,20111227X940501,091,NONE,RYAN,NAVION,5.0,1.0,RETR,2750.0,AIR,N,ANNL,54.0,4717.0,Y,PERS,Y,CCR ,,CCR ,N,N,1718.0,PLT,M,No,N,,,1,REC,CONT MOTOR,225.0,HP,CARB,7,2011-12-27,Tu,2330.0,USA,2011,12,,,375946N,0122340W,Concord/ Buchanan Field,0.0,,18.0,2353.0,0.0,18.0,0.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,59.0,36.0,0.0,Y,,T,T,0.0,0.0,,,SERS,,,,0,0,0,2,2.0,VMC
2705,20111228X817231,NUSN,NONE,UNIVERSITY OF KANSAS,MERIDIAN,0.0,1.0,FIXD,1200.0,AIR,Y,COND,,10.0,Y,FLTS,N,NZPG,,NZPG,N,N,10.0,PLT,M,No,N,,,1,REC,TAE,135.0,HP,FINJ,6,2011-12-19,Mo,317.0,AY,2011,12,,,007700S,0016600E,"Pegasus McMurdo, Antarctica",0.0,,18.0,,0.0,,0.0,DAYL,,0.0,0.0,,,,,0.0,0.0,360.0,U,9.0,F,F,0.0,0.0,,,,,,,0,0,0,0,,VMC
2706,20111228X902501,091,NONE,PIPER,PA-28-180,4.0,1.0,FIXD,2400.0,AIR,N,ANNL,31.0,6833.0,Y,PERS,N,I68 ,2045.0,I68 ,N,N,63.0,PLT,M,No,N,,,1,REC,LYCOMING,180.0,HP,CARB,2,2011-12-28,We,2100.0,USA,2011,12,,,392712N,0841429W,Lebanon-Warren County Airport,1.0,,898.0,2153.0,360.0,957.0,8.0,DUSK,,0.0,2800.0,BKN,,,10.0,34.0,25.0,250.0,U,5.0,F,T,0.0,30.030000686645508,,,SERS,,,,0,3,0,1,4.0,VMC
2707,20111230X040481,091,NONE,MITSUBISHI,MU-2B-20,7.0,2.0,RETR,9920.0,AIR,N,ANNL,,5996.0,Y,PERS,N,ASD ,40.0,MJD ,N,N,6749.0,PLT,M,No,N,,,1,TP,Honeywell,665.0,HP,,6,2011-12-29,Th,100.0,USA,2011,12,,,302914N,0089394W,Picayune Municipal Airport,0.0,,55.0,53.0,127.0,23.0,12.0,NITE,CLER,0.0,0.0,NONE,,,10.0,46.0,46.0,0.0,U,,F,F,0.0,30.1299991607666,,,NONE,,,,0,0,3,0,3.0,VMC
2708,20111231X226191,091,NONE,KOTH LARRY,JABIRU CALYPSO,2.0,1.0,FIXD,,AIR,Y,,,,Y,PERS,N,1B9 ,1700.0,1B9 ,N,N,2404.0,PLT,M,No,N,,,1,REC,JABIRU,85.0,HP,,6,2011-12-30,Fr,1700.0,USA,2011,12,,,415935N,0711128W,Mansfield Municipal Airport,0.0,,122.0,1652.0,125.0,43.0,11.0,DAYL,FEW,3400.0,9000.0,OVC,,,10.0,45.0,28.0,0.0,U,,F,F,0.0,30.040000915527344,,,MINR,,,,0,1,0,0,1.0,VMC
2709,20111231X429081,091,NONE,PIPER,PA-32-260,6.0,1.0,FIXD,3400.0,AIR,N,ANNL,,6712.0,Y,PERS,N,TVC ,1650.0,TVC ,N,N,6045.0,PLT,M,No,N,,,1,REC,LYCOMING,250.0,HP,CARB,5,2011-12-31,Sa,1720.0,USA,2011,12,,,445432N,0852436W,,0.0,,,1723.0,230.0,624.0,12.0,DAYL,SCAT,2000.0,2600.0,BKN,,,10.0,37.0,27.0,160.0,U,6.0,F,T,0.0,29.920000076293945,,,MINR,,,,0,1,4,0,5.0,VMC
2710,20120103X945131,091,NONE,PIPER,PA-34-200T,6.0,2.0,RETR,4570.0,AIR,N,100H,,3287.0,Y,PERS,N,FRG ,1930.0,NA  ,N,N,18548.0,PLT,M,Yes,N,,,1,REC,CONT MOTOR,200.0,HP,FINJ,6,2012-01-02,Mo,2000.0,USA,2012,1,,,004140N,0722035W,Klenawicus Airfield,0.0,,50.0,1953.0,243.0,67.0,20.0,DAYL,FEW,5500.0,0.0,NONE,,,10.0,39.0,16.0,290.0,U,15.0,F,F,21.0,29.700000762939453,,,NONE,,,,0,0,1,0,1.0,VMC
