id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140829X556011,091,NONE,ROBINSON HELICOPTER,R44,,1.0,FIXD,,HELI,N,ANNL,,545.0,,,,Y,PERS,N,,,,N,N,1850.0,PLT,,No,N,,L,1,REC,LYCOMING,O-540-F1B5,235.0,HP,,,6
20140829X816221,091,NONE,NAVION,NAVION F,4.0,1.0,RETR,3150.0,AIR,N,ANNL,6.0,3867.0,Y,,,Y,PERS,N,1S9 ,2145.0,63S ,N,N,20000.0,PLT,,Yes,N,,4,1,REC,Continental,IO-550,285.0,HP,FINJ,CONP,6
20140830X722331,091,NONE,TRAVEL AIR,C 4000,,1.0,FIXD,,AIR,N,,,5088.0,,,,Y,PERS,N,CN12,1921.0,CN12,N,N,5000.0,PLT,M,Yes,N,,L,1,REC,CONT MOTOR,W670 SERIES,250.0,HP,CARB,,2
20140901X208081,091,NONE,CESSNA,180,4.0,1.0,FIXD,2550.0,AIR,N,ANNL,12.0,3225.0,Y,C91A,,Y,PERS,N,7B3 ,1448.0,06NH,N,N,20050.0,PLT,M,No,Y,,L,1,REC,CONT MOTOR,O-470-K,230.0,HP,CARB,CONP,6
20140902X750281,091,NONE,LORENZ STEPHEN,KITFOX   SERIES 5,2.0,1.0,FIXD,1180.0,AIR,Y,COND,,239.0,,,,Y,PERS,N,4N7 ,1600.0,4N7 ,N,N,2400.0,PLT,M,No,N,,3,1,REC,Subaru,NSI-E81,100.0,HP,CARB,CONP,6
20140902X022401,091,NONE,MOONEY AIRCRAFT CORP.,M20K,4.0,1.0,RETR,3200.0,AIR,N,ANNL,2.0,3160.39990234375,Y,,,Y,PERS,Y,VRB ,,SUA ,N,N,673.4000244140625,PLT,,No,N,,3,1,REC,CONT MOTOR,TSIO-520,305.0,HP,FINJ,CONP,2
20140902X305541,091,NONE,DEHAVILLAND,DHC 2,5.0,1.0,FIXD,5370.0,AIR,N,ANNL,,4025.0,Y,C126,,Y,PERS,N,LHD ,,,N,N,1013.5,PLT,,No,N,,3,1,REC,Pratt & Whitney,R-985-B5,450.0,HP,CARB,CONP,5
20140902X340021,091,NONE,BORING ROBERT BURTON,RV6A,2.0,1.0,FIXD,,AIR,Y,COND,,324.20001220703125,Y,,,Y,PERS,Y,LRU ,1330.0,LRU ,N,N,773.0,PLT,,No,N,,4,1,REC,LYCOMING,O-320 E2D,160.0,HP,CARB,FIXP,6
20140902X355331,091,NONE,OHLGREN BRENT E,RV-6A,2.0,1.0,FIXD,1750.0,AIR,Y,COND,13.0,377.0,Y,UNK,,Y,PERS,N,Y14 ,2215.0,KMIW,N,N,164.0,PLT,,No,N,,5,1,REC,LYCOMING,O-360-C1G,180.0,HP,CARB,CONP,7
20140902X634011,091,NONE,CESSNA,177B,4.0,1.0,FIXD,2500.0,AIR,N,ANNL,,3600.0,Y,,,Y,PERS,N,GTF ,1800.0,7S6 ,N,N,118.0,PLT,M,No,N,,3,1,REC,LYCOMING,O-360-A1F6D,180.0,HP,CARB,CONP,6
20140902X804131,091,CVFR,HUGHES,369D,,1.0,FIXD,3000.0,HELI,N,100H,,9258.0,Y,C91A,,Y,BUS ,N,WLW ,1955.0,WLW ,N,N,22100.0,PLT,,Yes,N,,,1,TS,Rolls Royce/Allison,250-C20B,420.0,HP,,,1
20140903X230401,091,NONE,PIPER,PA 28RT-201T,,1.0,RETR,2749.0,AIR,N,ANNL,,3687.0,Y,,,Y,PERS,N,T41 ,2215.0,KELD,N,N,227.0,PLT,,No,N,,U,1,REC,CONT MOTOR,TSIO-360 SER,200.0,HP,FINJ,CONP,2
20140903X636151,091,IFR,KLAAS DEVELOPMENT INC,LANCAIR IV P,4.0,1.0,RETR,3200.0,AIR,Y,COND,,2378.0,Y,C91A,,Y,BUS ,N,TYS ,1851.0,JAN ,N,N,2811.5,PLT,,No,Y,,L,1,REC,Continental Motors,TSIO-550 E3B,350.0,HP,FINJ,CONP,4
20140904X857231,091,NONE,ACKLAND JEFFREY DEAN,SH 3R,2.0,1.0,RETR,2500.0,AIR,Y,COND,,1827.0,Y,C91,,Y,PERS,N,CSG ,1601.0,CEW ,N,N,12000.0,PLT,,No,N,,3,1,REC,LYCOMING,IO-540 SER,300.0,HP,FINJ,CONP,2
20140904X225361,091,NONE,QUICKSILVER,2S,2.0,1.0,FIXD,1000.0,AIR,Y,UNK,,,,,,Y,PERS,N,MY50,30.0,MY50,N,N,500.0,PLT,,,N,,L,1,REC,Rotax,582,64.0,HP,CARB,FIXP,7
20140904X554581,091,NONE,BEECH,95 B55 (T42A),6.0,2.0,RETR,,AIR,N,,,,,,,Y,PERS,N,,1400.0,,N,N,12000.0,PLT,,No,N,,3,1,REC,,IO470,,,CARB,,7
20140905X145451,091,IFR,SOCATA,TBM 700,6.0,1.0,RETR,6579.0,AIR,N,ANNL,97.0,97.0999984741211,Y,UNK,,Y,PERS,Y,ROC ,1226.0,APF ,N,N,3755.0,PLT,M,No,N,,4,1,TP,P&W CANADA,PT6A-66D,850.0,HP,,CONP,2
20140906X424151,091,NONE,EALAND CHARLES,LIONHEART,6.0,1.0,RETR,5500.0,AIR,Y,COND,1.0,237.0,Y,C91A,,Y,PERS,Y,SBP ,1930.0,SMX ,N,N,24003.5,PLT,,No,N,,4,1,REC,P&W,R-985 SERIES,450.0,HP,CARB,CONP,6
20140907X006061,091,NONE,NAVION,NAVION,4.0,1.0,RETR,2750.0,AIR,N,ANNL,75.0,3263.0,Y,,,Y,PERS,N,SC00,1330.0,KUZA,N,N,525.0,PLT,,No,N,,L,1,REC,Continental ,E-185-3,205.0,HP,CARB,CONP,7
20140907X347451,091,NONE,PIPER,PA 24-250,,1.0,RETR,2899.0,AIR,N,ANNL,,,Y,C91,,Y,PERS,N,U14 ,1530.0,FFZ ,N,N,13201.0,PLT,,No,N,,L,1,REC,LYCOMING,O-540 SERIES,250.0,HP,,,2
20140908X932101,091,NONE,CIRRUS DESIGN CORP,SR22,,1.0,FIXD,,AIR,N,ANNL,73.0,2276.199951171875,Y,C126,,Y,PERS,N,MKT ,1757.0,8MN3,N,N,2242.0,PLT,,No,N,,4,1,REC,CONT MOTOR,IO-550-N7B,310.0,HP,FINJ,,5
